,Indicator_Code,Indicator_Name,Indicator_URL,Year,Start_Year,End_Year,Region_Code,Region,Country_Code,Country,Dimension_Type,Dimension_Code,Dimension_Name,Numeric_Value,Value,Low,High,Rescaled_Value
10371,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1985,1985,1985,WPR,Western Pacific,AUS,Australia,,,,150700.0,150 700,,,42.411040941992276
10549,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2001,2001,2001,WPR,Western Pacific,AUS,Australia,,,,49392.0,49 392,,,47.86232024497073
10600,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1995,1995,1995,WPR,Western Pacific,AUS,Australia,,,,195120.0,195 120,,,59.310235818373044
10655,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1979,1979,1979,WPR,Western Pacific,AUS,Australia,,,,25812.0,25 812,,,25.01259738749564
10668,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2004,2004,2004,WPR,Western Pacific,AUS,Australia,,,,24378.0,24 378,,,48.42573647722532
10672,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2018,2018,2018,WPR,Western Pacific,AUS,Australia,,,,20123.0,20 123,,,13.907472424183783
10935,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,271151.0,271 151,,,82.42122669325373
11033,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2012,2012,2012,WPR,Western Pacific,AUS,Australia,,,,232321.0,232 321,,,70.61814932123947
11118,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1980,1980,1980,WPR,Western Pacific,AUS,Australia,,,,151800.0,151 800,,,46.14234213422011
11127,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1992,1992,1992,WPR,Western Pacific,AUS,Australia,,,,202300.0,202 300,,,61.492726045801895
11188,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2005,2005,2005,WPR,Western Pacific,AUS,Australia,,,,196998.0,196 998,,,59.88108771908494
11218,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2005,2005,2005,WPR,Western Pacific,AUS,Australia,,,,196998.0,196 998,,,55.44054574313599
11237,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2007,2007,2007,WPR,Western Pacific,AUS,Australia,,,,62652.0,62 652,,,60.71165549052289
11275,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2020,2020,2020,WPR,Western Pacific,AUS,Australia,,,,48577.0,48 577,,,96.49589797580501
11288,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1984,1984,1984,WPR,Western Pacific,AUS,Australia,,,,28524.0,28 524,,,27.64060622504748
11295,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2010,2010,2010,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,63330.19,63330 [45454-84724],45454.05,84723.91,43.19197489648757
11341,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1993,1993,1993,WPR,Western Pacific,AUS,Australia,,,,42300.0,42 300,,,40.98996085119578
11343,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1983,1983,1983,WPR,Western Pacific,AUS,Australia,,,,29956.0,29 956,,,29.028256909182527
11479,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2007,2007,2007,WPR,Western Pacific,AUS,Australia,,,,212480.0,212 480,,,59.797597739578755
11487,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1999,1999,1999,WPR,Western Pacific,AUS,Australia,,,,45999.0,45 999,,,44.574402108608865
11660,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2011,2011,2011,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,133523.9,133524 [100508-174417],100508.2,174416.8,91.06495554302168
11781,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2012,2012,2012,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,133473.2,133473 [99701-175698],99701.23,175698.3,91.03037751432397
12097,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2002,2002,2002,WPR,Western Pacific,AUS,Australia,,,,49895.0,49 895,,,48.349742238071244
12154,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2007,2007,2007,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,123109.9,123110 [94638-157842],94638.05,157841.8,83.96247840578238
12192,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1988,1988,1988,WPR,Western Pacific,AUS,Australia,,,,34763.0,34 763,,,33.68638319314702
12264,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2005,2005,2005,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,59004.1,59004 [43702-77252],43701.52,77251.84,40.24152787145976
12267,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2018,2018,2018,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,143536.5,143537 [101075-198618],101075.3,198617.5,97.89367290276073
12298,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2019,2019,2019,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,70963.63,70964 [47143-101419],47143.4,101418.7,48.398075633811175
12353,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2007,2007,2007,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,60696.88,60697 [44401-80085],44401.34,80084.68,41.39602482252332
12364,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2015,2015,2015,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,70274.62,70275 [48410-97001],48409.93,97000.66,47.92816226984639
12565,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1986,1986,1986,WPR,Western Pacific,AUS,Australia,,,,175000.0,175 000,,,53.19439969360026
12672,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1988,1988,1988,WPR,Western Pacific,AUS,Australia,,,,191800.0,191 800,,,58.301062064185885
12674,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2011,2011,2011,WPR,Western Pacific,AUS,Australia,,,,72560.0,72 560,,,50.14790036767754
12720,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2008,2008,2008,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,129859.4,129859 [99256-167249],99255.84,167249.1,88.56572110194108
12898,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2004,2004,2004,WPR,Western Pacific,AUS,Australia,,,,203517.0,203 517,,,61.8626550996711
12961,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,300987.0,300 987,,,84.70585255479382
13039,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2004,2004,2004,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,56980.61,56981 [42581-74145],42580.8,74145.29,38.86148259947662
13178,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2015,2015,2015,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,143254.5,143255 [104220-192928],104219.8,192928.4,97.70134540586217
13202,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1996,1996,1996,WPR,Western Pacific,AUS,Australia,,,,208360.0,208 360,,,58.638118717143406
13232,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2010,2010,2010,WPR,Western Pacific,AUS,Australia,,,,89732.0,89 732,,,62.015868188980726
13245,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2000,2000,2000,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,55003.67,55004 [42266-70196],42266.41,70196.41,37.513185004729756
13281,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2017,2017,2017,WPR,Western Pacific,AUS,Australia,,,,287405.0,287 405,,,87.36192253679532
13330,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,1984,1984,1984,WPR,Western Pacific,AUS,Australia,,,,154400.0,154 400,,,46.93265892966789
13533,NTD_TSOL3,Number of pigs in the country,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/taenia-solium-number-of-pigs-in-the-country,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,2098147.0,2098147,,,92.91870050477272
13546,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,2017,2017,2017,WPR,Western Pacific,AUS,Australia,,,,44304.0,44 304,,,88.00778689338709
13584,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1973,1973,1973,WPR,Western Pacific,AUS,Australia,,,,18225.0,18 225,,,17.660568239079034
13586,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2010,2010,2010,WPR,Western Pacific,AUS,Australia,,,,230446.0,230 446,,,64.85371427284905
13620,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2009,2009,2009,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,62469.78,62470 [45111-83174],45111.08,83173.66,42.605164607102886
13745,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2004,2004,2004,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,116269.6,116270 [90911-147148],90910.56,147148.1,79.29730898367194
13785,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1975,1975,1975,WPR,Western Pacific,AUS,Australia,,,,20524.0,20 524,,,19.888367766192488
13849,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2009,2009,2009,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,64445.8,64446 [51412-80990],51412.41,80989.69,43.95283475044144
13882,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2000,2000,2000,WPR,Western Pacific,AUS,Australia,,,,191568.0,191 568,,,53.91239741987774
13945,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2003,2003,2003,WPR,Western Pacific,AUS,Australia,,,,195975.0,195 975,,,55.15264597615751
13963,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2009,2009,2009,WPR,Western Pacific,AUS,Australia,,,,233814.0,233 814,,,65.80156023099524
13989,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2001,2001,2001,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,112802.5,112803 [89860-140594],89860.41,140593.9,76.93270379042032
14001,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2017,2017,2017,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,74214.15,74214 [55330-99656],55329.79,99656.45,50.61497058139511
14032,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2014,2014,2014,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,70510.62,70511 [54514-91823],54513.87,91822.54,48.089117196328864
14055,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2005,2005,2005,WPR,Western Pacific,AUS,Australia,,,,56084.0,56 084,,,54.34706771580294
14298,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2001,2001,2001,WPR,Western Pacific,AUS,Australia,,,,191731.0,191 731,,,58.2800882723067
14305,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2013,2013,2013,WPR,Western Pacific,AUS,Australia,,,,77974.0,77 974,,,75.55913019884491
14479,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1995,1995,1995,WPR,Western Pacific,AUS,Australia,,,,44583.0,44 583,,,43.20225590139153
14506,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,17717.0,17 717,,,35.193977076339365
14518,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2018,2018,2018,WPR,Western Pacific,AUS,Australia,SEX,SEX_MLE,Male,74134.51,74135 [54524-100375],54524.46,100375.3,50.560655113831274
14551,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2001,2001,2001,WPR,Western Pacific,AUS,Australia,,,,203380.0,203 380,,,57.23661252012203
14594,SDGNTDTREATMENT,Reported number of people requiring interventions against NTDs,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-requiring-interventions-against-ntds,2015,2015,2015,WPR,Western Pacific,AUS,Australia,,,,17476.0,17 476,,,12.078069278190915
14608,HWF_0004,Specialist medical practitioners (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/specialist-medical-practitioners-%28number%29,1998,1998,1998,WPR,Western Pacific,AUS,Australia,,,,18493.0,18 493,,,36.73546413460201
14726,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2002,2002,2002,WPR,Western Pacific,AUS,Australia,,,,193853.0,193 853,,,58.925108364591374
14822,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2005,2005,2005,WPR,Western Pacific,AUS,Australia,SEX,SEX_BTSX,Both sexes,119953.2,119953 [93137-152625],93136.75,152624.7,81.80956986159923
14905,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1970,1970,1970,WPR,Western Pacific,AUS,Australia,,,,16697.0,16 697,,,16.17989069343773
15089,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,86550.0,86 550,,,83.86952982673746
15106,HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,1986,1986,1986,WPR,Western Pacific,AUS,Australia,,,,175000.0,175 000,,,49.24971575878334
15168,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1982,1982,1982,WPR,Western Pacific,AUS,Australia,,,,28821.0,28 821,,,27.928408077832472
15184,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1997,1997,1997,WPR,Western Pacific,AUS,Australia,,,,44194.0,44 194,,,42.8253033063297
15202,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2003,2003,2003,WPR,Western Pacific,AUS,Australia,,,,51819.0,51 819,,,50.21415558742587
15335,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1990,1990,1990,WPR,Western Pacific,AUS,Australia,,,,36991.0,36 991,,,35.84538160393814
15340,HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,1981,1981,1981,WPR,Western Pacific,AUS,Australia,,,,27710.0,27 710,,,26.85181596185899
15492,NCD_DTH_TOT,Total NCD Deaths (in thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-ghe-ncd-deaths-in-thousands,2001,2001,2001,WPR,Western Pacific,AUS,Australia,SEX,SEX_FMLE,Female,55128.83,55129 [42122-70633],42121.7,70633.38,37.5985456767575
15516,HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2016,2016,2016,WPR,Western Pacific,AUS,Australia,,,,279789.0,279 789,,,85.04690226212985
